ticker,status,note
AAPL,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
ADBE,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
ADI,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
ADP,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
ADSK,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AEP,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AFL,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AJG,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
ALGN,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
ALL,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AMAT,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AMD,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AMGN,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AMT,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AMZN,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
ANSS,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AON,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
APD,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AVGO,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
AXP,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
BA,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
BAC,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
BAX,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
BK,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
BKNG,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
BLK,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
BMY,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
BR,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
BRO,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
BSX,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
C,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CARR,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CAT,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CB,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CCI,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CCL,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CDNS,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CHTR,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CI,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CL,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CMCSA,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CMI,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CMS,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
COP,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CRM,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CSCO,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CTRA,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CTSH,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CVS,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
CVX,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
D,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
DAL,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
DD,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
DE,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
DOV,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
DOW,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
DTE,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
DUK,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
DVN,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
DXC,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
EA,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
ED,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
EL,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
EMR,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
EOG,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
EPAM,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
EQIX,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
ETN,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
ETR,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
EXC,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
EXPE,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
FANG,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
FAST,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
FCX,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
FE,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
FI,VERIFIED,search-confirmed against S&P/Moody's press releases or company IR
